"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"530330048004","Block Group 4; Census Tract 48; King County; Washington",1388,0.0209281164695177,0.0129682997118156,0,13.2174
"530330049011","Block Group 1; Census Tract 49.01; King County; Washington",1197,0.0241379310344828,0.0829576194770063,0.140961857379768,11.5179
"530330049012","Block Group 2; Census Tract 49.01; King County; Washington",1515,0.0727554179566563,0.0719471947194719,0.0592417061611374,11.8816
"530330049013","Block Group 3; Census Tract 49.01; King County; Washington",981,0.0425806451612903,0.158002038735984,0.134251290877797,18.5685
"530330049021","Block Group 1; Census Tract 49.02; King County; Washington",1945,0.00904662491301322,0.160249739854318,0.142066420664207,13.6176
"530330049022","Block Group 2; Census Tract 49.02; King County; Washington",1326,0.0289495450785773,0.110105580693816,0.094361334867664,10.9505
"530330050001","Block Group 1; Census Tract 50; King County; Washington",1748,0.112844036697248,0.0669336384439359,0.10427807486631,10.4722
"530330050002","Block Group 2; Census Tract 50; King County; Washington",1105,0.0267314702308627,0.131221719457014,0.247933884297521,8.8036
"530330050003","Block Group 3; Census Tract 50; King County; Washington",1925,0.028062970568104,0.0909090909090909,0.200949367088608,12.76
"530330051001","Block Group 1; Census Tract 51; King County; Washington",1616,0.00545454545454545,0.0804455445544554,0.16776750330251,10.8542
"530330051002","Block Group 2; Census Tract 51; King County; Washington",1114,0.027190332326284,0.0224416517055655,0,23.95
"530330051003","Block Group 3; Census Tract 51; King County; Washington",1079,0.0175953079178886,0.104726598702502,0.246753246753247,15.7083
"530330052011","Block Group 1; Census Tract 52.01; King County; Washington",1507,0.0789259560618389,0.132088058705804,0.246935201401051,18.0368
"530330052012","Block Group 2; Census Tract 52.01; King County; Washington",1244,0.0629370629370629,0.0948553054662379,0.132841328413284,25.0001
"530330052013","Block Group 3; Census Tract 52.01; King County; Washington",1047,0.0138364779874214,0.33810888252149,0.404371584699454,3.9405
"530330052021","Block Group 1; Census Tract 52.02; King County; Washington",1126,0.0220264317180617,0.397868561278863,0.490333919156415,5.9009
"530330052022","Block Group 2; Census Tract 52.02; King County; Washington",1103,0.0236768802228412,0.449682683590209,0.226175349428208,4.8922
"530330052023","Block Group 3; Census Tract 52.02; King County; Washington",624,0.0466926070038911,0.333333333333333,0.128272251308901,5.0192
"530330053031","Block Group 1; Census Tract 53.03; King County; Washington",1446,0.103448275862069,0.541095890410959,0.459016393442623,3.625
"530330053032","Block Group 2; Census Tract 53.03; King County; Washington",2757,0.155227032734952,0,0,NA
"530330053041","Block Group 1; Census Tract 53.04; King County; Washington",1441,0.27299703264095,0,1,NA
"530330053042","Block Group 2; Census Tract 53.04; King County; Washington",1984,0.324285714285714,0.666666666666667,0.766666666666667,1.6875
"530330053051","Block Group 1; Census Tract 53.05; King County; Washington",1018,0.106084243369735,0.708251473477407,0.567251461988304,1.8561
"530330053052","Block Group 2; Census Tract 53.05; King County; Washington",1257,0.0174418604651163,0.708801498127341,0.47411003236246,2.7361
"530330053061","Block Group 1; Census Tract 53.06; King County; Washington",1811,0.100213219616205,0.644087256027555,0.573443008225617,2.5491
"530330053062","Block Group 2; Census Tract 53.06; King County; Washington",1821,0.0544290288153682,0.299835255354201,0.356880733944954,7.7391
"530330053071","Block Group 1; Census Tract 53.07; King County; Washington",655,0.107594936708861,0.490384615384615,0.422535211267606,5.05
"530330053072","Block Group 2; Census Tract 53.07; King County; Washington",553,0.172413793103448,1,1,NA
"530330053073","Block Group 3; Census Tract 53.07; King County; Washington",1860,0.0489251297257228,0.8068669527897,0.35,4.2821
"530330054011","Block Group 1; Census Tract 54.01; King County; Washington",1205,0.0327723649247121,0.112033195020747,0.201277955271566,8.4082
"530330054012","Block Group 2; Census Tract 54.01; King County; Washington",1334,0.0964320154291225,0.155172413793103,0.00813008130081301,16.612
"530330054013","Block Group 3; Census Tract 54.01; King County; Washington",1060,0.0480549199084668,0.0462264150943396,0.0504885993485342,19.72
"530330054021","Block Group 1; Census Tract 54.02; King County; Washington",1308,0.0338600451467269,0.0856269113149847,0.132824427480916,12.9072
"530330054022","Block Group 2; Census Tract 54.02; King County; Washington",922,0.0529891304347826,0.203904555314534,0.259259259259259,7.705
"530330054023","Block Group 3; Census Tract 54.02; King County; Washington",768,0.0921985815602837,0.03515625,0.0709939148073022,11.5523
"530330056001","Block Group 1; Census Tract 56; King County; Washington",1567,0,0.0178685386088066,0.369205298013245,18.3488
"530330056002","Block Group 2; Census Tract 56; King County; Washington",976,0.0593824228028504,0.0389344262295082,0.18796992481203,19.6103
"530330056003","Block Group 3; Census Tract 56; King County; Washington",1458,0.105898123324397,0.0219931271477663,0.180921052631579,25.0001
"530330056004","Block Group 4; Census Tract 56; King County; Washington",1986,0,0.0120845921450151,0,25.0001
"530330056005","Block Group 5; Census Tract 56; King County; Washington",1005,0,0.0218905472636816,0.105504587155963,25.0001
"530330057001","Block Group 1; Census Tract 57; King County; Washington",1958,0,0.00919305413687436,0.0911360799001248,19.0793
"530330057002","Block Group 2; Census Tract 57; King County; Washington",1160,0.0199252801992528,0.0293103448275862,0.0320121951219512,22.1426
"530330057003","Block Group 3; Census Tract 57; King County; Washington",1072,0.0588235294117647,0.109141791044776,0.202453987730061,18.1417
"530330057004","Block Group 4; Census Tract 57; King County; Washington",1442,0.0580110497237569,0.278085991678225,0.312937062937063,14.185
