"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"98146","ZCTA5 98146",28573,0.0514957679136784,0.16298049745619,0.153433173212772,10.252
"98148","ZCTA5 98148",9715,0.073394495412844,0.167046632124352,0.187910976226606,8.7342
"98154","ZCTA5 98154",0,NA,NA,NA,NA
"98155","ZCTA5 98155",36511,0.0484505656665027,0.100577585249361,0.123466257668712,13.154
"98158","ZCTA5 98158",0,NA,NA,NA,NA
"98164","ZCTA5 98164",292,0,0.0856164383561644,0.0529411764705882,25.0001
"98166","ZCTA5 98166",22082,0.0478736949325185,0.147856557750068,0.137038276978016,11.4969
"98168","ZCTA5 98168",35528,0.0729849692323212,0.192796369824163,0.199021207177814,8.8083
"98177","ZCTA5 98177",21090,0.0410983981693364,0.0968511450381679,0.154413572657979,16.9918
"98178","ZCTA5 98178",26748,0.0612086045853382,0.157949947549828,0.208899347523799,9.9505
"98188","ZCTA5 98188",27311,0.0702341137123746,0.18057959273852,0.14488188976378,7.6438
"98195","ZCTA5 98195",2757,0.155227032734952,0,0,NA
"98198","ZCTA5 98198",40463,0.0717075075661427,0.205739299610895,0.204140389361119,8.6239
"98199","ZCTA5 98199",22468,0.0284377512976095,0.0765938475256353,0.131615598885794,18.0789
"98224","ZCTA5 98224",190,0.0777777777777778,0.121052631578947,0.0444444444444444,7.8636
"98288","ZCTA5 98288",169,0.0520833333333333,0.112426035502959,0.119565217391304,6.4583
"98354","ZCTA5 98354",8597,0.0526981450252951,0.145959416162335,0.198867212083071,9.6866
"98422","ZCTA5 98422",21644,0.0375332741792369,0.0840036985668054,0.116198059218711,11.8604
