"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"53033009000","Census Tract 90; King County; Washington",4393,0.0757790368271955,0.278625085363078,0.219373219373219,7.8995
"53033009100","Census Tract 91; King County; Washington",3474,0.0387866732968672,0.458140877598152,0.262734584450402,3.9788
"53033009200","Census Tract 92; King County; Washington",3236,0.176273083379966,0.511455108359133,0.170877354157097,3.5014
"53033009300","Census Tract 93; King County; Washington",3191,0.041108545034642,0.156908665105386,0.12,12.4318
"53033009400","Census Tract 94; King County; Washington",6702,0.0245919964229823,0.173880372708145,0.0906949352179034,9.5038
"53033009500","Census Tract 95; King County; Washington",7105,0.0315634940053829,0.157175077530307,0.193426042983565,14.3676
"53033009600","Census Tract 96; King County; Washington",6068,0.0187991021324355,0.0732079308591764,0.127822045152722,14.8125
"53033009701","Census Tract 97.01; King County; Washington",6387,0.035676532769556,0.085955847815876,0.128151260504202,11.9384
"53033009702","Census Tract 97.02; King County; Washington",5915,0.0316239316239316,0.072035338090384,0.165809768637532,16.2174
"53033009801","Census Tract 98.01; King County; Washington",3637,0.0931849791376912,0.119879021171295,0.230016313213703,10.0162
"53033009802","Census Tract 98.02; King County; Washington",4362,0.0546202768424991,0.0370285188592456,0.118635170603675,12.5774
"53033009900","Census Tract 99; King County; Washington",6421,0.0610601655110714,0.071172714530447,0.13329312424608,12.7557
"53033010001","Census Tract 100.01; King County; Washington",4457,0.0711757766417617,0.340997040746642,0.198008849557522,8.9444
"53033010002","Census Tract 100.02; King County; Washington",4801,0.0162627551020408,0.0997708810664445,0.164522058823529,11.4796
"53033010101","Census Tract 101.01; King County; Washington",4474,0.0218522372528616,0.377205199628598,0.191964285714286,5.0227
"53033010102","Census Tract 101.02; King County; Washington",4987,0.0381506627869382,0.0613595347904552,0.0984808800419068,12.0313
"53033010200","Census Tract 102; King County; Washington",5610,0.0176044183638246,0.0254845656855707,0.105792245093346,19.7313
"53033010301","Census Tract 103.01; King County; Washington",4389,0.0338846308995563,0.186389148737138,0.222018348623853,15.0625
"53033010302","Census Tract 103.02; King County; Washington",3461,0.0338274420372482,0.103149378792257,0.13728813559322,12.5898
"53033010401","Census Tract 104.01; King County; Washington",4496,0.0299425758818704,0.133363068688671,0.129979035639413,13.1625
"53033010402","Census Tract 104.02; King County; Washington",4993,0.014963503649635,0.169837772882035,0.130536130536131,11.24
"53033010501","Census Tract 105.01; King County; Washington",4309,0.0492579728449637,0.133709519136408,0.164249146757679,11.3056
"53033010502","Census Tract 105.02; King County; Washington",5815,0.0118120130686102,0.125561312607945,0.133855799373041,12.443
"53033010601","Census Tract 106.01; King County; Washington",4288,0.035799522673031,0.072294776119403,0.0549242424242424,14.4944
"53033010602","Census Tract 106.02; King County; Washington",4035,0.0729411764705882,0.118711276332094,0.181957970271656,10.8568
"53033010701","Census Tract 107.01; King County; Washington",4398,0.0711056309083436,0.205269186712486,0.170212765957447,13.2692
"53033010702","Census Tract 107.02; King County; Washington",4939,0.0829641562625856,0.376979293544458,0.137487126673532,11.375
"53033010800","Census Tract 108; King County; Washington",5105,0.0119798234552333,0.0819929384072185,0.138613861386139,15.5865
"53033010900","Census Tract 109; King County; Washington",1295,0.0326315789473684,0.22007722007722,0.236292428198433,7.975
"53033011001","Census Tract 110.01; King County; Washington",5216,0.034106412005457,0.358895705521472,0.199286442405708,5.1778
"53033011002","Census Tract 110.02; King County; Washington",4936,0.0513606745879647,0.306118314424635,0.0950540958268934,9.4648
"53033011101","Census Tract 111.01; King County; Washington",4762,0.0324550128534704,0.0999575551782683,0.160924964605946,8.917
"53033011102","Census Tract 111.02; King County; Washington",5525,0.069547796222095,0.0891731907580676,0.146673387096774,12.0895
"53033011200","Census Tract 112; King County; Washington",4141,0.0587275693311582,0.272682926829268,0.189799870884442,10.9805
"53033011300","Census Tract 113; King County; Washington",6279,0.0213195044655719,0.112332695984704,0.247451669595782,11.2455
"53033011401","Census Tract 114.01; King County; Washington",5052,0.0908823529411765,0.19910514541387,0.224165341812401,9.3897
"53033011402","Census Tract 114.02; King County; Washington",4490,0.0367479674796748,0.116703786191537,0.168008048289738,11.8864
"53033011500","Census Tract 115; King County; Washington",4449,0.0396968603392277,0.108563722184761,0.189494354442808,12.8073
"53033011601","Census Tract 116.01; King County; Washington",3440,0.029940119760479,0.0749489647127442,0.15071283095723,16.8618
"53033011602","Census Tract 116.02; King County; Washington",3653,0.0255127563781891,0.0607658157602664,0.0871862615587847,15.625
"53033011700","Census Tract 117; King County; Washington",5914,0.0595135908440629,0.172489823609227,0.202618099032442,9.309
"53033011801","Census Tract 118.01; King County; Washington",3478,0.0586712683347714,0.147295742232451,0.0898466033601169,9.8342
"53033011802","Census Tract 118.02; King County; Washington",5167,0.0777479892761394,0.413199148442036,0.200579990333494,NA
"53033011901","Census Tract 119.01; King County; Washington",4925,0.0107015457788347,0.0619289340101523,0.124062713019768,11.9933
"53033011902","Census Tract 119.02; King County; Washington",3140,0.0185283218634198,0.0659235668789809,0.158307210031348,14.2689
"53033012000","Census Tract 120; King County; Washington",3340,0.0370985603543743,0.0689131754705525,0.101694915254237,12.0398
"53033012100","Census Tract 121; King County; Washington",2784,0.0467924528301887,0.0682716492993173,0.0714285714285714,17.925
"53033020100","Census Tract 201; King County; Washington",3545,0.0387323943661972,0.106674438939085,0.145103645461044,16.6836
"53033020200","Census Tract 202; King County; Washington",5878,0.0100538599640934,0.111398516985687,0.185139573070608,11.9444
"53033020301","Census Tract 203.01; King County; Washington",3421,0.0442520442520443,0.179758752574287,0.168918918918919,8.825
"53033020302","Census Tract 203.02; King County; Washington",4151,0.0446735395189003,0.143373493975904,0.260702875399361,9.9776
"53033020401","Census Tract 204.01; King County; Washington",4616,0.0689393939393939,0.0674474083712861,0.0922982885085575,10.2237
"53033020402","Census Tract 204.02; King County; Washington",5602,0.0944192083062946,0.121386245286407,0.144196428571429,12.1212
"53033020500","Census Tract 205; King County; Washington",7825,0.0231839258114374,0.108474139042951,0.159084151055605,13.4688
"53033020600","Census Tract 206; King County; Washington",4036,0.0103177878662815,0.0401696606786427,0.0876085240726125,16.6611
"53033020700","Census Tract 207; King County; Washington",4334,0.0662425149700599,0.110517761783144,0.137109581789307,8.8686
"53033020800","Census Tract 208; King County; Washington",4878,0.064,0.0789257892578926,0.135002721829069,17.3015
"53033020900","Census Tract 209; King County; Washington",4300,0.0586579070858752,0.196338231751385,0.20801317233809,10.1373
"53033021000","Census Tract 210; King County; Washington",5946,0.0435723114956737,0.107588532883642,0.0967741935483871,11.6203
"53033021100","Census Tract 211; King County; Washington",4357,0.0320675105485232,0.157423526485949,0.153196622436671,12.6563
"53033021300","Census Tract 213; King County; Washington",4310,0.0807647288333984,0.108076563958917,0.0972527472527473,13.2292
"53033021400","Census Tract 214; King County; Washington",3763,0.0242574257425743,0.0628830269118039,0.100961538461538,15.9056
"53033021500","Census Tract 215; King County; Washington",4613,0.0410509031198686,0.0669991326973114,0.0669014084507042,19.898
"53033021600","Census Tract 216; King County; Washington",5774,0.0527090694935218,0.14721163837894,0.122774988589685,14.204
"53033021701","Census Tract 217.01; King County; Washington",4818,0.0474588938714499,0.0844748858447489,0.111038536903984,18.3424
"53033021702","Census Tract 217.02; King County; Washington",4876,0.00639578630549285,0.19954881050041,0.126488706365503,7.3649
"53033021802","Census Tract 218.02; King County; Washington",6117,0.0274273176083379,0.079941147621383,0.118367346938776,15.9612
"53033021803","Census Tract 218.03; King County; Washington",7097,0.0311364815775817,0.071156289707751,0.116327751196172,13.109
"53033021804","Census Tract 218.04; King County; Washington",5589,0.020671834625323,0.074745605920444,0.177468464549804,13.2533
"53033021903","Census Tract 219.03; King County; Washington",6948,0.0475618544319001,0.118198874296435,0.217691548832621,9.7411
"53033021904","Census Tract 219.04; King County; Washington",5670,0.0394696268886833,0.110677545228805,0.115606936416185,18.0035
"53033021905","Census Tract 219.05; King County; Washington",5756,0.0323580034423408,0.108150470219436,0.109633027522936,13.6786
"53033021906","Census Tract 219.06; King County; Washington",4566,0.0310048561822936,0.0906900328587076,0.101760176017602,15.7273
"53033022001","Census Tract 220.01; King County; Washington",5137,0.0810202550637659,0.0715265530080345,0.207720588235294,11.6154
"53033022003","Census Tract 220.03; King County; Washington",5310,0.103948180135719,0.0571913929784824,0.112903225806452,14.2155
"53033022005","Census Tract 220.05; King County; Washington",4557,0.032498307379824,0.13403647549989,0.14624881291548,13.4183
"53033022006","Census Tract 220.06; King County; Washington",4541,0.0282986703034436,0.104764055091443,0.115167095115681,13.9125
"53033022101","Census Tract 221.01; King County; Washington",5070,0.024066968957098,0.0487418268278185,0.11692759295499,17.4891
"53033022102","Census Tract 221.02; King County; Washington",6641,0.0516318887105404,0.066405661797922,0.108573890564412,18.6641
"53033022201","Census Tract 222.01; King County; Washington",4371,0.0307935254638768,0.0829134218964727,0.140732265446224,13.25
"53033022203","Census Tract 222.03; King County; Washington",5665,0.0627484383872799,0.113680494263019,0.175862068965517,14.2895
"53033022204","Census Tract 222.04; King County; Washington",3247,0.0166073546856465,0.0606713889744379,0.0672853828306264,14.6319
"53033022205","Census Tract 222.05; King County; Washington",4201,0.0360205831903945,0.159226545714968,0.165115139637433,12.6393
"53033022300","Census Tract 223; King County; Washington",2699,0.0249671484888305,0.0199248120300752,0.0916824196597354,20.4844
"53033022401","Census Tract 224.01; King County; Washington",3570,0.038751887267237,0.106269328085465,0.150395778364116,14.7344
"53033022402","Census Tract 224.02; King County; Washington",5964,0.0350369656059145,0.108721223323811,0.195037904893177,14.3125
"53033022501","Census Tract 225.01; King County; Washington",4475,0.0395814376706096,0.0918481922299573,0.105135951661631,21.7011
"53033022502","Census Tract 225.02; King County; Washington",4429,0.0399547681869582,0.0580266425829758,0.175914994096812,15.5417
"53033022603","Census Tract 226.03; King County; Washington",5991,0.0591780821917808,0.0868183338909334,0.117424242424242,15.5
"53033022604","Census Tract 226.04; King County; Washington",5142,0.0736105999263894,0.0799299883313886,0.104220948410631,22.6058
"53033022605","Census Tract 226.05; King County; Washington",7324,0.0226752175904718,0.0922971114167813,0.165280665280665,12.1371
"53033022606","Census Tract 226.06; King County; Washington",6087,0.0117849956884162,0.0397568588795794,0.0613673805601318,16.5707
"53033022701","Census Tract 227.01; King County; Washington",3049,0.0374625374625375,0.0851693521867807,0.156910078455039,18.4125
"53033022702","Census Tract 227.02; King County; Washington",4194,0.0554343081623745,0.100456621004566,0.139700078926598,23.6797
"53033022703","Census Tract 227.03; King County; Washington",2985,0.0414507772020725,0.0616621983914209,0.0797720797720798,24.5036
"53033022802","Census Tract 228.02; King County; Washington",6701,0.0544255085211655,0.0786802030456853,0.082053354890865,16.828
"53033022803","Census Tract 228.03; King County; Washington",8604,0.0199189141547682,0.107046229855311,0.159036144578313,17.5278
"53033022804","Census Tract 228.04; King County; Washington",4654,0.0195376098990557,0.184572410829394,0.187992988606486,10.7038
"53033022805","Census Tract 228.05; King County; Washington",3430,0.0418535127055306,0.0597667638483965,0.153984421809467,16.3936
"53033022901","Census Tract 229.01; King County; Washington",3178,0.0588235294117647,0.143776133805082,0.097985347985348,18.8672
"53033022902","Census Tract 229.02; King County; Washington",6762,0.0892595844307872,0.067643576080521,0.0932601880877743,21.1797
"53033023000","Census Tract 230; King County; Washington",7398,0.0592672413793103,0.0524607896160087,0.11008547008547,18.4332
"53033023100","Census Tract 231; King County; Washington",4039,0.0220905172413793,0.0888944850163687,0.082679971489665,20.6705
"53033023201","Census Tract 232.01; King County; Washington",6256,0.0633540372670807,0.0770460358056266,0.169080234833659,11.6683
"53033023202","Census Tract 232.02; King County; Washington",5554,0.0547014658562746,0.210914985590778,0.162935970848516,9.9436
"53033023300","Census Tract 233; King County; Washington",7388,0.0540467867706373,0.0550210055563084,0.103054989816701,18.0928
"53033023401","Census Tract 234.01; King County; Washington",4546,0.0354048964218456,0.0707903780068729,0.123877917414722,17.1144
"53033023403","Census Tract 234.03; King County; Washington",4076,0.0444777611194403,0.0885416666666667,0.144050104384134,17.2891
"53033023404","Census Tract 234.04; King County; Washington",3575,0.0339425587467363,0.0137062937062937,0.0448569218870843,19.375
"53033023500","Census Tract 235; King County; Washington",4027,0.0855018587360595,0.0854233921033027,0.189012426422498,15.7102
"53033023601","Census Tract 236.01; King County; Washington",4782,0.0434332988624612,0.158193277310924,0.237416904083571,16.3646
"53033023603","Census Tract 236.03; King County; Washington",6176,0.0352808354501835,0.225550518134715,0.190240182996569,13.4733
"53033023604","Census Tract 236.04; King County; Washington",6594,0.0342205323193916,0.141340612678192,0.210815047021944,12.5
"53033023701","Census Tract 237.01; King County; Washington",4344,0.02240247199691,0.037292817679558,0.120481927710843,21.5938
"53033023702","Census Tract 237.02; King County; Washington",1404,0.0284463894967177,0.183760683760684,0.243542435424354,13.8702
