zip,year,category_id,category,count,percentage,total_requests
98107,2025,8,Child Care & Parenting,2,<1%,1129
98107,2025,9,Government & Legal,204,18.1%,1129
98107,2025,10,Transportation Assistance,34,3.0%,1129
98107,2025,11,Education,5,<1%,1129
98107,2025,12,Disaster,40,3.5%,1129
98107,2025,13,Other,147,13.0%,1129
98108,2025,2,Housing & Shelter,473,28.1%,1684
98108,2025,3,Food,207,12.3%,1684
98108,2025,1,Utilities,185,11.0%,1684
98108,2025,4,Healthcare & COVID-19,114,6.8%,1684
98108,2025,5,Mental Health & Addictions,39,2.3%,1684
98108,2025,6,Employment & Income,53,3.1%,1684
98108,2025,7,Clothing & Household,47,2.8%,1684
98108,2025,8,Child Care & Parenting,15,<1%,1684
98108,2025,9,Government & Legal,217,12.9%,1684
98108,2025,10,Transportation Assistance,63,3.7%,1684
98108,2025,11,Education,7,<1%,1684
98108,2025,12,Disaster,56,3.3%,1684
98108,2025,13,Other,208,12.4%,1684
98109,2025,2,Housing & Shelter,455,29.3%,1553
98109,2025,3,Food,185,11.9%,1553
98109,2025,1,Utilities,110,7.1%,1553
98109,2025,4,Healthcare & COVID-19,86,5.5%,1553
98109,2025,5,Mental Health & Addictions,29,1.9%,1553
98109,2025,6,Employment & Income,24,1.5%,1553
98109,2025,7,Clothing & Household,33,2.1%,1553
98109,2025,8,Child Care & Parenting,5,<1%,1553
98109,2025,9,Government & Legal,268,17.3%,1553
98109,2025,10,Transportation Assistance,32,2.1%,1553
98109,2025,11,Education,3,<1%,1553
98109,2025,12,Disaster,44,2.8%,1553
98109,2025,13,Other,279,18.0%,1553
98111,2025,2,Housing & Shelter,15,8.2%,182
98111,2025,3,Food,9,4.9%,182
98111,2025,1,Utilities,5,2.7%,182
98111,2025,4,Healthcare & COVID-19,20,11.0%,182
98111,2025,5,Mental Health & Addictions,5,2.7%,182
98111,2025,6,Employment & Income,1,<1%,182
98111,2025,7,Clothing & Household,3,1.6%,182
98111,2025,8,Child Care & Parenting,1,<1%,182
98111,2025,9,Government & Legal,18,9.9%,182
98111,2025,10,Transportation Assistance,2,1.1%,182
98111,2025,11,Education,0,0%,182
98111,2025,12,Disaster,1,<1%,182
98111,2025,13,Other,102,56.0%,182
98112,2025,2,Housing & Shelter,239,29.5%,809
98112,2025,3,Food,105,13.0%,809
98112,2025,1,Utilities,66,8.2%,809
98112,2025,4,Healthcare & COVID-19,42,5.2%,809
